Texto,Precio_Kg,Precio_Lt
45 Colima Cuauhtémoc ,18.56,10.02
45 Colima Ixtlahuacán ,18.56,10.02
45 Colima Manzanillo ,18.56,10.02
45 Colima Minatitlán ,18.56,10.02
45 Colima Tecomán ,18.56,10.02
45 Colima Villa de Álvarez ,18.56,10.02
45 Jalisco Tonila ,18.56,10.02
45 Michoacán de Ocampo Aquila ,18.56,10.02
45 Michoacán de Ocampo Chinicuila ,18.56,10.02
45 Michoacán de Ocampo Coahuayana ,18.56,10.02
46 Durango Canatlán ,19.40,10.48
47 Durango Cuencamé ,19.64,10.61
47 Durango General Simón Bolívar ,19.64,10.61
47 Durango Nazas ,19.64,10.61
47 Durango Rodeo ,19.64,10.61
47 Durango San Juan de Guadalupe ,19.64,10.61
47 Durango San Luis del Cordero ,19.64,10.61
47 Durango San Pedro del Gallo ,19.64,10.61
48 Durango Durango ,19.64,10.61
48 Durango Mezquital ,19.64,10.61
49 Durango El Oro ,19.48,10.52
49 Durango Indé ,19.48,10.52
49 Durango San Bernardo ,19.48,10.52
50 Durango Guadalupe Victoria ,19.80,10.69
50 Durango Pánuco de Coronado ,19.80,10.69
50 Durango Peñón Blanco ,19.80,10.69
51 Durango Mapimí ,18.90,10.21
51 Durango Tlahualilo ,18.90,10.21
52 Durango Hidalgo ,19.91,10.75
52 Durango Ocampo ,19.91,10.75
53 Durango Nombre de Dios ,19.31,10.43
53 Durango Poanas ,19.31,10.43
54 Durango Pueblo Nuevo ,19.29,10.42
54 Durango San Dimas ,19.29,10.42
55 Durango Coneto de Comonfort ,19.23,10.38
55 Durango San Juan del Río ,19.23,10.38
56 Durango Nuevo Ideal ,20.33,10.98
56 Durango Otáez ,20.33,10.98
56 Durango Santiago Papasquiaro ,20.33,10.98
57 Durango Canelas ,19.19,10.36
57 Durango Guanaceví ,19.19,10.36
57 Durango Tepehuanes ,19.19,10.36
57 Durango Topia ,19.19,10.36
58 Durango Súchil ,20.22,10.92
58 Durango Vicente Guerrero ,20.22,10.92
59 Guanajuato Acámbaro ,19.02,10.27
59 Guanajuato Coroneo ,19.02,10.27
59 Guanajuato Jerécuaro ,19.02,10.27
59 Guanajuato Salvatierra ,19.02,10.27
59 Guanajuato Santiago Maravatío ,19.02,10.27
59 Guanajuato Tarandacuao ,19.02,10.27
59 Michoacán de Ocampo Álvaro Obregón ,19.02,10.27
59 Michoacán de Ocampo Epitacio Huerta ,19.02,10.27
59 Michoacán de Ocampo Santa Ana Maya ,19.02,10.27
59 Michoacán de Ocampo Zinapécuaro ,19.02,10.27
60 Guanajuato Apaseo el Alto ,19.16,10.35
60 Guanajuato Apaseo el Grande ,19.16,10.35
60 Guanajuato Celaya ,19.16,10.35
60 Guanajuato Comonfort ,19.16,10.35
60 Guanajuato Santa Cruz de Juventino Rosas ,19.16,10.35
60 Guanajuato Tarimoro ,19.16,10.35
61 Guanajuato Cortazar ,19.45,10.50
61 Guanajuato Villagrán ,19.45,10.50
62 Guanajuato Abasolo ,19.00,10.26
62 Guanajuato Cuerámaro ,19.00,10.26
62 Guanajuato Huanímaro ,19.00,10.26
62 Guanajuato Irapuato ,19.00,10.26
62 Guanajuato Pueblo Nuevo ,19.00,10.26
62 Michoacán de Ocampo José Sixto Verduzco ,19.00,10.26
63 Guanajuato León ,19.22,10.38
63 Jalisco Lagos de Moreno ,19.22,10.38
64 Guanajuato Pénjamo ,18.73,10.11
65 Guanajuato Salamanca ,19.03,10.28
66 Guanajuato Ocampo ,19.25,10.40
66 Guanajuato San Felipe ,19.25,10.40
67 Guanajuato Manuel Doblado ,19.27,10.41
67 Guanajuato Purísima del Rincón ,19.27,10.41
67 Guanajuato San Francisco del Rincón ,19.27,10.41
68 Guanajuato Atarjea ,18.48,9.98
68 Guanajuato Doctor Mora ,18.48,9.98
